full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/assetguard-manager/framework/assetguard/core/cluster/server.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/core/cluster/utils.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/core/cluster/worker.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/event.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/manager.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/mitre.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/rootcheck.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/security.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/stats.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/syscheck.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/framework/assetguard/task.py,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/lib,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/lib/libcontent_manager.so,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libgcc_s.so.1,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libindexer_connector.so,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libinventory_sync.so,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libjemalloc.so.2,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libpython3.12.so.1.0,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/librocksdb.so.8,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/librouter.so,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libschema_validator.so,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libstdc++.so.6,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libvulnerability_scanner.so,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libassetguardext.so,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/lib/libassetguardshared.so,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/logs,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/logs/alerts,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/logs/api,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/logs/archives,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/logs/cluster,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/logs/firewall,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/logs/assetguard,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/logs/assetguard-manager.json,assetguard-manager,assetguard-manager,660,file,-rw-rw----,,
/var/assetguard-manager/logs/assetguard-manager.log,assetguard-manager,assetguard-manager,660,file,-rw-rw----,,
/var/assetguard-manager/queue,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/queue/agents-timestamp,assetguard-manager,assetguard-manager,660,file,-rw-rw----,,
/var/assetguard-manager/queue/alerts,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/queue/cluster,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/queue/db,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/queue/indexer,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/queue/keystore,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/queue/rids,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/queue/router,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
